comp,size,complexity,change_churn,total,minor,major,ownership,review_rate,review_churn_rate,self_reviews,too_quick,little_discussion,bugs
qtbase.doc/src/snippets/qstack,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstackedlayout,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstackedwidget,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstatustipevent,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstring,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstringlist,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstringlistmodel,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstyleoption,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qstyleplugin,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qtablewidget-resizing,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qtablewidget-using,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qtcast,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qtreewidget-using,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/qtreewidgetitemiterator-using,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/quiloader,30,4,28,2,0,2,0.5,1,1,1,1,0,0
qtbase.doc/src/snippets/qx11embedcontainer,18,2,14,2,0,2,0.5,1,1,1,1,0,0
qtbase.doc/src/snippets/qx11embedwidget,13,2,14,2,0,2,0.5,1,1,1,1,0,0
qtbase.doc/src/snippets/qxmlstreamwriter,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/separations,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/settings,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/shareddirmodel,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/sharedemployee,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/signalmapper,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/signalsandslots,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/splitter,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/splitterhandle,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/sqldatabase,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/streaming,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/styles,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/stylesheet,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textblock-fragments,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-css,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-imagedrop,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-listitemstyles,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-lists,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-resources,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-tables,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/textdocument-texttable,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/threads,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/timeline,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/timers,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/transform,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/whatsthis,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/widget-mask,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/widgets-tutorial,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/xml/rsslisting,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.doc/src/snippets/xml/simpleparse,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.examples/animation/animatedtiles,0,0,256,1,0,1,1,0,0,0,0,0,0
qtbase.examples/animation/appchooser,0,0,175,2,0,2,0.5,0,0,0,0,0,0
qtbase.examples/animation/easing,0,0,407,1,0,1,1,0,0,0,0,0,0
qtbase.examples/animation/moveblocks,0,0,321,1,0,1,1,0,0,0,0,0,0
qtbase.examples/animation/states,0,0,285,1,0,1,1,0,0,0,0,0,0
qtbase.examples/animation/stickman,0,0,1546,2,0,2,0.5,0,0,0,0,0,0
qtbase.examples/animation/sub-attaq,0,0,3281,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dbus/chat,121,16,248,2,0,2,0.5,1,1,1,0,0,0
qtbase.examples/dbus/complexpingpong,122,24,78,3,0,3,0.333333333,1,1,0,2,0,0
qtbase.examples/dbus/dbus-chat,0,0,624,4,0,4,0.4,0,0,0,0,0,0
qtbase.examples/dbus/listnames,38,6,14,2,0,2,0.5,1,1,0,1,0,0
qtbase.examples/dbus/pingpong,53,9,60,3,0,3,0.333333333,1,1,1,2,0,0
qtbase.examples/dbus/remotecontrolledcar/car,115,13,236,3,0,3,0.333333333,1,1,1,1,0,0
qtbase.examples/dbus/remotecontrolledcar/controller,55,8,241,3,0,3,0.5,1,1,1,1,0,0
qtbase.examples/desktop/screenshot,0,0,353,2,0,2,0.5,0,0,0,0,0,0
qtbase.examples/desktop/systray,0,0,445,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/classwizard,0,0,649,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/configdialog,0,0,452,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/extension,0,0,245,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/findfiles,0,0,388,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/licensewizard,0,0,589,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/sipdialog,0,0,237,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/standarddialogs,0,0,634,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/tabdialog,0,0,354,1,0,1,1,0,0,0,0,0,0
qtbase.examples/dialogs/trivialwizard,0,0,135,1,0,1,1,0,0,0,0,0,0
qtbase.examples/draganddrop/draggableicons,0,0,294,1,0,1,1,0,0,0,0,0,0
qtbase.examples/draganddrop/draggabletext,0,0,388,1,0,1,1,0,0,0,0,0,0
qtbase.examples/draganddrop/dropsite,0,0,476,1,0,1,1,0,0,0,0,0,0
qtbase.examples/draganddrop/fridgemagnets,0,0,491,1,0,1,1,0,0,0,0,0,0
qtbase.examples/draganddrop/puzzle,0,0,769,1,0,1,1,0,0,0,0,0,0
qtbase.examples/effects/blurpicker,0,0,425,1,0,1,1,0,0,0,0,0,0
qtbase.examples/effects/fademessage,0,0,253,1,0,1,1,0,0,0,0,0,0
qtbase.examples/effects/lighting,0,0,264,1,0,1,1,0,0,0,0,0,0
qtbase.examples/embedded/digiflip,295,39,50,2,0,2,0.5,1,1,1,1,0,0
qtbase.examples/embedded/flickable,376,70,150,2,0,2,0.5,1,1,1,1,0,0
qtbase.examples/embedded/flightinfo,270,43,66,3,0,3,0.333333333,1,1,0,1,0,0
qtbase.examples/embedded/lightmaps,491,70,359,4,0,4,0.25,1,1,0,1,0,0
qtbase.examples/embedded/raycasting,265,50,50,2,0,2,0.5,1,1,1,1,0,0
qtbase.examples/embedded/styledemo,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.examples/embedded/styleexample,70,11,152,2,0,2,0.5,1,1,1,1,0,0
qtbase.examples/gestures/imagegestures,257,44,70,2,0,2,0.5,1,1,0,1,0,0
qtbase.examples/graphicsview/anchorlayout,0,0,129,1,0,1,1,0,0,0,0,0,0
qtbase.examples/graphicsview/basicgraphicslayouts,0,0,400,1,0,1,1,0,0,0,0,0,0
qtbase.examples/graphicsview/boxes,0,0,3709,1,0,1,1,0,0,0,0,0,0
qtbase.examples/graphicsview/boxes/3rdparty,0,0,247,1,0,1,1,0,0,0,0,0,0
qtbase.examples/graphicsview/chip,0,0,868,1,0,1,1,0,0,0,0,0,0
qtbase.examples/graphicsview/collidingmice,0,0,359,1,0,1,1,0,0,0,0,0,0
